185l	-6.19192
184l	-6.67189
186l	-6.09316
188l	-5.79979
187l	-5.43730
1afk	-5.41856
1afl	-2.06677
1a30	-5.21543
1a1e	-5.75474
1a94	-7.14680
1a9m	-7.35159
1aaq	-6.64755
1aid	-6.74358
1a28	-10.83400
1a4w	-7.60892
1adl	-5.52784
1ajx	-11.62603
1ajv	-11.92745
1add	-8.21091
1a4r	-7.59963
10gs	-6.83153
1aj7	-6.01164
1apv	-8.41097
1alw	-4.61555
1azm	-5.25734
1avn	-1.08079
1amw	-5.77892
1atr	-10.26320
1atl	-4.47660
1b38	-8.45788
1amk	-2.01543
1ax0	-5.84728
1a99	-4.14758
1b05	-7.06908
1b0h	-9.94764
1b32	-7.81653
1b1h	-9.00127
1b2h	-8.41565
1b3g	-7.96320
1b3f	-7.95716
1b3h	-8.67733
1b3l	-7.11951
1b40	-9.11592
1b46	-8.74603
1ai7	-4.77779
1ai4	-5.15848
1b6j	-11.37783
1ai5	-5.55408
1b6k	-11.05301
1b4z	-8.15488
1b6l	-11.44087
1b51	-7.63517
1b4h	-7.35448
1b52	-7.90332
1b8y	-9.50206
1bhf	-5.86350
1b8n	-9.97414
1b8o	-9.26191
1bdq	-9.35571
1bai	-6.62130
1bcd	-4.36556
1ajn	-5.22292
1bju	-7.92166
1b58	-9.46480
1bjv	-7.41596
1ajq	-4.87293
1bcu	-6.95493
1b5i	-7.90612
1b5h	-7.30515
1bhx	-8.37109
1b6h	-7.84228
1bma	-6.64688
1b5j	-8.43177
1ajp	-5.13578
1a4k	-7.62773
1bn1	-4.49343
1bn3	-5.17044
1bn4	-4.18208
1bnn	-5.46853
1bnq	-5.63222
1bnt	-6.89671
1b7h	-7.73165
1bgq	-8.37415
1bty	-5.11744
1bnu	-6.66955
1bnv	-5.26963
1bv7	-14.07047
1bnw	-4.38492
1br6	-8.10733
1a9q	-5.43389
1bv9	-13.62311
1bwa	-13.53354
1b57	-4.03923
1bwb	-12.89085
1bm7	-6.59494
1b9j	-8.22736
1b55	-6.27499
1c1r	-7.31266
1bxq	-7.90182
1bxo	-10.87451
1bzc	-8.63418
1bzj	-8.70488
1c5p	-5.40933
1c5s	-6.33959
1c5q	-6.57865
1c1u	-7.78418
1c1v	-7.87230
1c5t	-6.33476
1c70	-11.79051
1c4u	-7.62329
1c5x	-6.28482
1c5o	-4.76006
1c5n	-5.11882
1ceb	-4.40011
1c5y	-6.35437
1c83	-7.61721
1cgl	-6.63965
1c84	-7.86951
1ciz	-10.35921
1c86	-6.35965
1c87	-5.96549
1c5c	-8.96320
1c88	-6.83018
1cbx	-6.23630
1cnw	-4.30576
1cnx	-5.39112
1cny	-4.56469
1d4h	-11.79400
1cps	-5.43466
1d4i	-12.84006
1d4k	-11.28776
1d7i	-1.57051
1d4j	-12.05547
1d4l	-10.75149
1d7j	-2.87430
1d3d	-9.12157
1d4y	-10.50349
1bp0	-7.08826
1d3p	-8.85378
1det	-5.87210
1d4p	-10.28103
1d6w	-6.76855
1d9i	-5.72692
1dif	-11.18257
1dl7	-2.85468
1dmp	-12.76246
1drj	-7.66418
1dhi	-7.69021
1drk	-7.32184
1d6v	-9.15324
1dgm	-5.25905
1dhj	-8.14974
1dzk	-2.67332
1ctt	-8.96833
1ctu	-8.13396
1df8	-7.95719
1dud	-6.90360
1e1v	-5.90784
1e1x	-5.91463
1c3x	-4.36391
1e3g	-11.44847
1dqn	-8.98450
1e3v	-6.31680
1dy4	-8.75600
1eb2	-7.42088
1e5j	-7.84922
1ebw	-9.71702
1eby	-12.51052
1ebz	-10.87230
1ec0	-13.16910
1dar	-6.25745
